image_name,label
4841.jpeg,1
19109.jpeg,9
52362.jpeg,2
78106.jpeg,6
91765.jpeg,5
82439.jpeg,9
6928.jpeg,8
41557.jpeg,7
22681.jpeg,1
96217.jpeg,7
11530.jpeg,0
81586.jpeg,6
11866.jpeg,6
78663.jpeg,3
36663.jpeg,3
83969.jpeg,9
22200.jpeg,0
9070.jpeg,0
49414.jpeg,4
47093.jpeg,3
62694.jpeg,4
47237.jpeg,7
8874.jpeg,4
87832.jpeg,2
95257.jpeg,7
13570.jpeg,0
65849.jpeg,9
8667.jpeg,7
45332.jpeg,2
20779.jpeg,9
11043.jpeg,3
94934.jpeg,4
17933.jpeg,3
35465.jpeg,5
74215.jpeg,5
27164.jpeg,4
40098.jpeg,8
16479.jpeg,9
37395.jpeg,5
48102.jpeg,2
24021.jpeg,1
38973.jpeg,3
32220.jpeg,0
69129.jpeg,9
73747.jpeg,7
91968.jpeg,8
92016.jpeg,6
89022.jpeg,2
86264.jpeg,4
75450.jpeg,0
56669.jpeg,9
87603.jpeg,3
76833.jpeg,3
26271.jpeg,1
81309.jpeg,9
79835.jpeg,5
30113.jpeg,3
1873.jpeg,3
33296.jpeg,6
58586.jpeg,6
32246.jpeg,6
48590.jpeg,0
3604.jpeg,4
86861.jpeg,1
50287.jpeg,7
17267.jpeg,7
12312.jpeg,2
97223.jpeg,3
83709.jpeg,9
42162.jpeg,2
62137.jpeg,7
84306.jpeg,6
56964.jpeg,4
62443.jpeg,3
29273.jpeg,3
25881.jpeg,1
80387.jpeg,7
74561.jpeg,1
15802.jpeg,2
96259.jpeg,9
43093.jpeg,3
4344.jpeg,4
59117.jpeg,7
90088.jpeg,8
18950.jpeg,0
56067.jpeg,7
7065.jpeg,5
95325.jpeg,5
28477.jpeg,7
6127.jpeg,7
46320.jpeg,0
36441.jpeg,1
89876.jpeg,6
32564.jpeg,4
98996.jpeg,6
6322.jpeg,2
82167.jpeg,7
31866.jpeg,6
53556.jpeg,6
979.jpeg,9
80024.jpeg,4
92140.jpeg,0
47374.jpeg,4
8826.jpeg,6
65871.jpeg,1
63261.jpeg,1
41592.jpeg,2
66377.jpeg,7
57751.jpeg,1
16259.jpeg,9
19400.jpeg,0
66363.jpeg,3
39627.jpeg,7
53443.jpeg,3
42684.jpeg,4
3099.jpeg,9
88711.jpeg,1
93579.jpeg,9
82617.jpeg,7
34425.jpeg,5
77180.jpeg,0
54380.jpeg,0
73505.jpeg,5
46398.jpeg,8
18687.jpeg,7
7625.jpeg,5
29681.jpeg,1
5898.jpeg,8
99572.jpeg,2
56625.jpeg,5
70138.jpeg,8
32752.jpeg,2
38531.jpeg,1
66670.jpeg,0
28796.jpeg,6
55807.jpeg,7
88061.jpeg,1
84786.jpeg,6
31322.jpeg,2
60680.jpeg,0
38344.jpeg,4
54069.jpeg,9
18578.jpeg,8
21543.jpeg,3
25077.jpeg,7
84740.jpeg,0
21419.jpeg,9
62588.jpeg,8
21156.jpeg,6
83189.jpeg,9
67528.jpeg,8
74000.jpeg,0
7571.jpeg,1
38730.jpeg,0
65429.jpeg,9
37198.jpeg,8
57629.jpeg,9
18889.jpeg,9
23920.jpeg,0
96712.jpeg,2
41288.jpeg,8
75056.jpeg,6
54722.jpeg,2
27012.jpeg,2
5121.jpeg,1
1099.jpeg,9
10491.jpeg,1
41478.jpeg,8
87361.jpeg,1
7148.jpeg,8
43421.jpeg,1
